Status	Temporal	Word	Alternative
-	0	aanlaten	
-	0	benthuizen	Benthuizen
-	0	Drenthen	Drenten
-	0	franse	Franse
-	0	handenschudden	handen schudden
-	0	hergroepeerd	gehergroepeerd
-	0	hitler	
-	0	hitlers	
-	0	IVC	
-	0	IVCC	
-	0	IVCCC	
-	0	IVCCCI	
-	0	IVCCCII	
-	0	IVCCCIII	
-	0	IVCCCIV	
-	0	IVCCCIX	
-	0	IVCCCL	
-	0	IVCCCLI	
-	0	IVCCCLII	
-	0	IVCCCLIII	
-	0	IVCCCLIV	
-	0	IVCCCLIX	
-	0	IVCCCLV	
-	0	IVCCCLVI	
-	0	IVCCCLVII	
-	0	IVCCCLVIII	
-	0	IVCCCLX	
-	0	IVCCCLXI	
-	0	IVCCCLXII	
-	0	IVCCCLXIII	
-	0	IVCCCLXIV	
-	0	IVCCCLXIX	
-	0	IVCCCLXV	
-	0	IVCCCLXVI	
-	0	IVCCCLXVII	
-	0	IVCCCLXVIII	
-	0	IVCCCLXX	
-	0	IVCCCLXXI	
-	0	IVCCCLXXII	
-	0	IVCCCLXXIII	
-	0	IVCCCLXXIV	
-	0	IVCCCLXXIX	
-	0	IVCCCLXXV	
-	0	IVCCCLXXVI	
-	0	IVCCCLXXVII	
-	0	IVCCCLXXVIII	
-	0	IVCCCLXXX	
-	0	IVCCCLXXXI	
-	0	IVCCCLXXXII	
-	0	IVCCCLXXXIII	
-	0	IVCCCLXXXIV	
-	0	IVCCCLXXXIX	
-	0	IVCCCLXXXV	
-	0	IVCCCLXXXVI	
-	0	IVCCCLXXXVII	
-	0	IVCCCLXXXVIII	
-	0	IVCCCV	
-	0	IVCCCVI	
-	0	IVCCCVII	
-	0	IVCCCVIII	
-	0	IVCCCX	
-	0	IVCCCXC	
-	0	IVCCCXCI	
-	0	IVCCCXCII	
-	0	IVCCCXCIII	
-	0	IVCCCXCIV	
-	0	IVCCCXCIX	
-	0	IVCCCXCV	
-	0	IVCCCXCVI	
-	0	IVCCCXCVII	
-	0	IVCCCXCVIII	
-	0	IVCCCXI	
-	0	IVCCCXII	
-	0	IVCCCXIII	
-	0	IVCCCXIV	
-	0	IVCCCXIX	
-	0	IVCCCXL	
-	0	IVCCCXLI	
-	0	IVCCCXLII	
-	0	IVCCCXLIII	
-	0	IVCCCXLIV	
-	0	IVCCCXLIX	
-	0	IVCCCXLV	
-	0	IVCCCXLVI	
-	0	IVCCCXLVII	
-	0	IVCCCXLVIII	
-	0	IVCCCXV	
-	0	IVCCCXVI	
-	0	IVCCCXVII	
-	0	IVCCCXVIII	
-	0	IVCCCXX	
-	0	IVCCCXXI	
-	0	IVCCCXXII	
-	0	IVCCCXXIII	
-	0	IVCCCXXIV	
-	0	IVCCCXXIX	
-	0	IVCCCXXV	
-	0	IVCCCXXVI	
-	0	IVCCCXXVII	
-	0	IVCCCXXVIII	
-	0	IVCCCXXX	
-	0	IVCCCXXXI	
-	0	IVCCCXXXII	
-	0	IVCCCXXXIII	
-	0	IVCCCXXXIV	
-	0	IVCCCXXXIX	
-	0	IVCCCXXXV	
-	0	IVCCCXXXVI	
-	0	IVCCCXXXVII	
-	0	IVCCCXXXVIII	
-	0	IVCCI	
-	0	IVCCII	
-	0	IVCCIII	
-	0	IVCCIV	
-	0	IVCCIX	
-	0	IVCCL	
-	0	IVCCLI	
-	0	IVCCLII	
-	0	IVCCLIII	
-	0	IVCCLIV	
-	0	IVCCLIX	
-	0	IVCCLV	
-	0	IVCCLVI	
-	0	IVCCLVII	
-	0	IVCCLVIII	
-	0	IVCCLX	
-	0	IVCCLXI	
-	0	IVCCLXII	
-	0	IVCCLXIII	
-	0	IVCCLXIV	
-	0	IVCCLXIX	
-	0	IVCCLXV	
-	0	IVCCLXVI	
-	0	IVCCLXVII	
-	0	IVCCLXVIII	
-	0	IVCCLXX	
-	0	IVCCLXXI	
-	0	IVCCLXXII	
-	0	IVCCLXXIII	
-	0	IVCCLXXIV	
-	0	IVCCLXXIX	
-	0	IVCCLXXV	
-	0	IVCCLXXVI	
-	0	IVCCLXXVII	
-	0	IVCCLXXVIII	
-	0	IVCCLXXX	
-	0	IVCCLXXXI	
-	0	IVCCLXXXII	
-	0	IVCCLXXXIII	
-	0	IVCCLXXXIV	
-	0	IVCCLXXXIX	
-	0	IVCCLXXXV	
-	0	IVCCLXXXVI	
-	0	IVCCLXXXVII	
-	0	IVCCLXXXVIII	
-	0	IVCCV	
-	0	IVCCVI	
-	0	IVCCVII	
-	0	IVCCVIII	
-	0	IVCCX	
-	0	IVCCXC	
-	0	IVCCXCI	
-	0	IVCCXCII	
-	0	IVCCXCIII	
-	0	IVCCXCIV	
-	0	IVCCXCIX	
-	0	IVCCXCV	
-	0	IVCCXCVI	
-	0	IVCCXCVII	
-	0	IVCCXCVIII	
-	0	IVCCXI	
-	0	IVCCXII	
-	0	IVCCXIII	
-	0	IVCCXIV	
-	0	IVCCXIX	
-	0	IVCCXL	
-	0	IVCCXLI	
-	0	IVCCXLII	
-	0	IVCCXLIII	
-	0	IVCCXLIV	
-	0	IVCCXLIX	
-	0	IVCCXLV	
-	0	IVCCXLVI	
-	0	IVCCXLVII	
-	0	IVCCXLVIII	
-	0	IVCCXV	
-	0	IVCCXVI	
-	0	IVCCXVII	
-	0	IVCCXVIII	
-	0	IVCCXX	
-	0	IVCCXXI	
-	0	IVCCXXII	
-	0	IVCCXXIII	
-	0	IVCCXXIV	
-	0	IVCCXXIX	
-	0	IVCCXXV	
-	0	IVCCXXVI	
-	0	IVCCXXVII	
-	0	IVCCXXVIII	
-	0	IVCCXXX	
-	0	IVCCXXXI	
-	0	IVCCXXXII	
-	0	IVCCXXXIII	
-	0	IVCCXXXIV	
-	0	IVCCXXXIX	
-	0	IVCCXXXV	
-	0	IVCCXXXVI	
-	0	IVCCXXXVII	
-	0	IVCCXXXVIII	
-	0	IVCD	
-	0	IVCDI	
-	0	IVCDII	
-	0	IVCDIII	
-	0	IVCDIV	
-	0	IVCDIX	
-	0	IVCDL	
-	0	IVCDLI	
-	0	IVCDLII	
-	0	IVCDLIII	
-	0	IVCDLIV	
-	0	IVCDLIX	
-	0	IVCDLV	
-	0	IVCDLVI	
-	0	IVCDLVII	
-	0	IVCDLVIII	
-	0	IVCDLX	
-	0	IVCDLXI	
-	0	IVCDLXII	
-	0	IVCDLXIII	
-	0	IVCDLXIV	
-	0	IVCDLXIX	
-	0	IVCDLXV	
-	0	IVCDLXVI	
-	0	IVCDLXVII	
-	0	IVCDLXVIII	
-	0	IVCDLXX	
-	0	IVCDLXXI	
-	0	IVCDLXXII	
-	0	IVCDLXXIII	
-	0	IVCDLXXIV	
-	0	IVCDLXXIX	
-	0	IVCDLXXV	
-	0	IVCDLXXVI	
-	0	IVCDLXXVII	
-	0	IVCDLXXVIII	
-	0	IVCDLXXX	
-	0	IVCDLXXXI	
-	0	IVCDLXXXII	
-	0	IVCDLXXXIII	
-	0	IVCDLXXXIV	
-	0	IVCDLXXXIX	
-	0	IVCDLXXXV	
-	0	IVCDLXXXVI	
-	0	IVCDLXXXVII	
-	0	IVCDLXXXVIII	
-	0	IVCDV	
-	0	IVCDVI	
-	0	IVCDVII	
-	0	IVCDVIII	
-	0	IVCDX	
-	0	IVCDXC	
-	0	IVCDXCI	
-	0	IVCDXCII	
-	0	IVCDXCIII	
-	0	IVCDXCIV	
-	0	IVCDXCIX	
-	0	IVCDXCV	
-	0	IVCDXCVI	
-	0	IVCDXCVII	
-	0	IVCDXCVIII	
-	0	IVCDXI	
-	0	IVCDXII	
-	0	IVCDXIII	
-	0	IVCDXIV	
-	0	IVCDXIX	
-	0	IVCDXL	
-	0	IVCDXLI	
-	0	IVCDXLII	
-	0	IVCDXLIII	
-	0	IVCDXLIV	
-	0	IVCDXLIX	
-	0	IVCDXLV	
-	0	IVCDXLVI	
-	0	IVCDXLVII	
-	0	IVCDXLVIII	
-	0	IVCDXV	
-	0	IVCDXVI	
-	0	IVCDXVII	
-	0	IVCDXVIII	
-	0	IVCDXX	
-	0	IVCDXXI	
-	0	IVCDXXII	
-	0	IVCDXXIII	
-	0	IVCDXXIV	
-	0	IVCDXXIX	
-	0	IVCDXXV	
-	0	IVCDXXVI	
-	0	IVCDXXVII	
-	0	IVCDXXVIII	
-	0	IVCDXXX	
-	0	IVCDXXXI	
-	0	IVCDXXXII	
-	0	IVCDXXXIII	
-	0	IVCDXXXIV	
-	0	IVCDXXXIX	
-	0	IVCDXXXV	
-	0	IVCDXXXVI	
-	0	IVCDXXXVII	
-	0	IVCDXXXVIII	
-	0	IVCI	
-	0	IVCII	
-	0	IVCIII	
-	0	IVCIV	
-	0	IVCIX	
-	0	IVCL	
-	0	IVCLI	
-	0	IVCLII	
-	0	IVCLIII	
-	0	IVCLIV	
