Word	Alternative
afdolen	
bamboezen	
barrelen	
beverse	
bijker	Bijker
bogerd	Bogerd
bosneger	
Bosneger	
bosnegerdorp	
bosnegergemeenschap	
bosnegergemeenschappen	
bosnegers	
Bosnegers	
brodde	broden
brodden	broden
fotografieën	foto's
fotografietjes	fotootjes
godspenning	
godspenningen	
huisneger	
huisnegers	
jodenvet	borsthoning
koelie	
koelies	
koeliewerk	
maagdenzwier	
menistenzusjes	
neger	
negerbevolking	
negerbloed	
negerdans	
negerin	
negerinnen	
negerinnetje	
negerinnetjes	
negerjongen	
negerjongens	
negerkind	
negerkinderen	
negers	
negertje	
negertjes	
negerwijk	
negerwijken	
negerzoen	
negerzoenen	
nikker	
nikkers	
nikkertje	
nikkertjes	
normaallessen	
sulde	
sulden	
sult	
tijds	de tand des tijds
tuitel	Tuitel;wankel
vervuren	
vlaken	
voorbidding	
weeuwtje	jonge weduwe
wegs	
wui	
ziekenzand	
