Status	Exclude	Word	Alternative
-	0	gewelfden	
-	0	kieft	Kieft
-	0	negerkindjes	zwarte kindjes
-	0	negerts	zwarten
-	0	paardebloemen	paardenbloemen
-	0	paardebloem	paardenbloem
-	1	arre	
-	1	waardelen	
B	0	jodenvet	borsthoning
B	0	vervuren	
B	1	brodden	broden
D	0	tijds	de tand des tijds
F	0	bamboezen	
F	0	beverse	
F	0	bosnegergemeenschappen	
F	0	fotografieën	foto's
F	0	fotografietjes	fotootjes
F	0	godspenningen	
F	0	huisnegers	
F	0	koelies	loonslaven
F	0	menistenzusjes	
F	0	negerinnen	zwarten
F	0	negerinnetjes	zwartjes
F	0	negerinnetje	zwartje
F	0	negerjongens	zwarte jongens
F	0	negerkinderen	zwarte kinderen
F	0	negers	zwarten
F	0	negertjes	zwartjes
F	0	negertje	zwartje
F	0	negerwijken	zwarte wijken
F	0	negerzoenen	
F	0	nikkers	zwarten
F	0	nikkertjes	zwartjes
F	0	sulde	
F	0	sulden	
F	0	sult	
F	0	tuitel	Tuitel;wankel
F	0	wegs	
F	1	brodde	broden
H	0	Bosnegers	bosnegers
K	0	afdolen	
K	0	barrelen	
K	0	bijker	Bijker
K	0	bogerd	Bogerd
K	0	bosneger	
K	0	bosnegerdorp	
K	0	bosnegers	
K	0	godspenning	
K	0	huisneger	
K	0	koelie	loonslaaf
K	0	koeliewerk	mensonwaardig werk
K	0	maagdenzwier	
K	0	negerbevolking	zwarte bevolking
K	0	negerbloed	
K	0	negerdans	
K	0	negerin	zwarte
K	0	negerjongen	zwarte jongen
K	0	negerkind	zwart kind
K	0	negerwijk	zwarte wijk
K	0	negerzoen	
K	0	neger	zwarte
K	0	nikkertje	zwartje
K	0	nikker	zwarte
K	0	normaallessen	
K	0	vlaken	
K	0	voorbidding	
K	0	weeuwtje	jonge weduwe
K	0	ziekenzand	
K	1	wui	
X	0	affodille	
X	0	extreem-rechts	extreemrechts
X	0	fotografies	foto's;fotografisch
X	0	gedachtengang	gedachtegang
X	0	inpen	
X	0	kerver	Kerver
X	0	pannekoekenhuis	pannenkoekenhuis
X	0	pannekoeken	pannenkoeken
X	0	pannekoekje	pannenkoekje
X	0	pannekoekjes	pannenkoekjes
X	0	pannekoek	pannenkoek
X	0	poene	straffe
X	0	ruggegraat	ruggengraat
X	0	sangen	Sangen
X	0	slob	slop;Slob
X	0	tappel	afgebroken tak
X	0	verwantschapte	
X	0	vliegezwam	vliegenzwam
X	0	zeeëenden	zee-eenden
X	0	zeeëend	zee-eend
X	0	zeeëgels	zee-egels
X	0	zeeëgeltjes	zee-egeltjes
X	0	zeeëgeltje	zee-egeltje
X	0	zeeëgel	zee-egel
X	0	zinnelozen	krankzinnigen
X	0	zoëven	zo-even
X	1	heila	Heila
X	1	momt	komt
