Status	Exclude	Word	Alternative
-	0	helegaar	helemaal
-	0	kloen	Kloen
-	0	luistervolle	luistervol
B	1	ongelden	ontgelden
F	0	bakvisje	
F	0	bakvisjes	
F	0	bakvissen	
F	0	deernen	meisjes
F	0	doorluchtiger	voornamer;verhevener
F	0	doorluchtige	voorname;verhevene
F	0	doorluchtigheden	voornaamheden;verhevenheden
F	0	doorluchtigste	voornaamste;verhevenste
F	0	drinklokalen	kroegen;cafés
F	0	geprangd	verdrietig
F	0	lub	Lub
K	0	aanschellen	aanbellen
K	0	altoos	
K	0	bakvis	
K	0	blode	laf;bedeesd;verlegen
K	0	deerne	meisje
K	0	doorluchtigheid	voornaamheid;verhevenheid
K	0	doorluchtig	voornaam;verheven
K	0	drinklokaal	kroeg;café
K	0	gaarne	graag
K	0	heerschap	persoon
K	0	liefdebrand	liefdesvuur
K	0	maagschap	familie
K	0	plezierbuurt	hoerenbuurt
K	0	schurftheid	
K	0	vlaak	
K	0	vomeren	braken
K	0	wederkering	
K	0	zwerk	hemel
K	1	altoosdurend	
